Jurisdiction,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
Nova Scotia,01-Oct-05,01-Apr-06,01-May-07,01-May-08,01-Apr-09,01-Apr-10,01-Oct-11,01-Apr-12,01-Apr-13,01-Apr-14,01-Apr-15,01-Apr-16,01-Apr-17,01-Apr-18,01-Apr-19,01-Apr-20,01-Apr-21,01-Apr-22,01-Apr-23,01-Apr-24,,
,$6.80 ,$7.15 ,$7.60 ,$8.10 ,$8.60 ,$9.20 ,$10.00 ,$10.15 ,$10.30 ,$10.40 ,$10.60Footnote83 ,$10.70Footnote84 ,$10.85 ,$11.00 ,$11.55 ,$12.55 ,$12.95 ,$13.35 ,$14.50 ,$15.20 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,01-Oct-10,,,,,,,,,,,,01-Oct-22,01-Oct-23,,,
,,,,,,$9.65 ,,,,,,,,,,,,$13.60 ,$15.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,
Nunavut,,,,05-Sep-08,,,01-Jan-11,,,,,01-Apr-16,,,,01-Apr-20,,,,01-Jan-24,,
,,,,$10.00 ,,,$11.00 ,,,,,$13.00 ,,,,$16.00 ,,,,$19.00 ,,
,,,,,,,,,,,,,,,,,,,,,,
Ontario,01-Feb-05,01-Feb-06,01-Feb-07,31-Mar-08,31-Mar-09,31-Mar-10,,,,01-Jun-14,01-Oct-15,01-Oct-16,01-Oct-17,01-Jan-18,,01-Oct-20,01-Oct-21,01-Jan-22,,01-Oct-24,,
,$7.45 ,$7.75 ,$8.00 ,$8.75 ,$9.50 ,$10.25 ,,,,$11.00 ,$11.25 ,$11.40 ,$11.60 ,$14.00 ,,$14.25 ,$14.35 ,$15.00 ,,$17.20 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,01-Oct-22,,,,
,,,,,,,,,,,,,,,,,,$15.50 ,,,,
,,,,,,,,,,,,,,,,,,,,,,
Prince Edward Island,01-Jan-05,01-Apr-06,01-Apr-07,01-May-08,01-Jun-09,01-Jun-10,01-Jun-11,01-Apr-12,,01-Jun-14,01-Jul-15,01-Jun-16,01-Apr-17,01-Apr-18,01-Apr-19,01-Apr-20,01-Apr-21,01-Apr-22,01-Jan-23,01-Oct-24,,
,$6.80 ,$7.15 ,$7.50 ,$7.75 ,$8.20 ,$8.70 ,$9.30 ,$10.00 ,,$10.20 ,$10.50 ,$10.75 ,$11.25 ,$11.55 ,$12.25 ,$12.85 ,$13.00 ,$13.70 ,$14.50 ,$16.00 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,01-Oct-08,01-Oct-09,01-Oct-10,01-Oct-11,,,01-Oct-14,,01-Oct-16,,,,,,,01-Oct-23,,,
,,,,$8.00 ,$8.40 ,$9.00 ,$9.60 ,,,$10.35 ,,$11.00 ,,,,,,,$15.00 ,,,
,,,,,,,,,,,,,,,,,,,,,,
Quebec,01-May-05,01-May-06,01-May-07,01-May-08,01-May-09,01-May-10,01-May-11,01-May-12,01-May-13,01-May-14,01-May-15,01-May-16,01-May-17,01-May-18,01-May-19,01-May-20,01-May-21,01-May-22,01-May-23,01-May-24,,
,$7.60 ,$7.75 ,$8.00 ,$8.50 ,$9.00 ,$9.50 ,$9.65 ,$9.90 ,$10.15 ,$10.35 ,$10.55 ,$10.75 ,$11.25 ,$12.00 ,$12.50 ,$13.10 ,$13.50 ,$14.25 ,$15.25 ,$15.75 ,,
,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan,01-Sep-05,01-Mar-06,01-Mar-07,01-Jan-08,01-May-09,,01-Sep-11,01-Dec-12,,01-Oct-14,01-Oct-15,01-Oct-16,01-Oct-17,01-Oct-18,01-Oct-19,01-Oct-20,01-Oct-21,01-Oct-22,,01-Oct-24,,
,$7.05 ,$7.55 ,$7.95 ,$8.25 ,$9.25 ,,$9.50 ,$10.00 ,,$10.20 ,$10.50 ,$10.72 ,$10.96 ,$11.06 ,$11.32 ,$11.45 ,$11.81 ,$13.00 ,,$15.00 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,01-May-08,,,,,,,,,,,,,,,,,,
,,,,$8.60 ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Yukon,,01-May-06,01-Apr-07,01-Apr-08,01-Apr-09,01-Apr-10,01-Jan-11,01-Apr-12,01-Apr-13,01-Apr-14,01-Apr-15,01-Apr-16,01-Apr-17,01-Apr-18,01-Apr-19,01-Apr-20,01-Apr-21,01-Apr-22,01-Apr-23,01-Apr-24,,
,,$8.25 ,$8.37 ,$8.58 ,$8.89 ,$8.93 ,$9.00 ,$9.27 ,$10.54 ,$10.72 ,$10.86 ,$11.07 ,$11.32 ,$11.51 ,$12.71 ,$13.71 ,$13.85 ,$15.70 ,$16.77 ,$17.59 ,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,01-May-12,,,,,,,,,01-Aug-21,,,,,
,,,,,,,,$10.30 ,,,,,,,,,$15.20 ,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Federal,,,,,,,,,,,,,,,,,29-Dec-21,01-Apr-22,01-Apr-23,01-Apr-24,,
,,,,,,,,,,,,,,,,,$15.00Footnote79 ,$15.55Footnote80 ,$16.65Footnote81 ,$17.30Footnote82 ,,
